date	point1_A	point1_H	point1_V
2024-08-11 11-17-30	30.89	70.15	31.68
2024-08-11 11-48-00	22.85	53.24	25.78
2024-08-11 12-18-29	22.93	54.09	26.72
2024-08-11 12-31-38	22.68	53.67	26.41
2024-08-11 12-48-59	22.83	54.27	26.57
2024-08-11 13-19-30	22.5	53.7	26.54
2024-08-11 13-49-59	23.03	54.96	26.87
2024-08-11 14-20-30	23.16	55.05	26.84
2024-08-11 14-51-00	22.99	54.24	26.73
2024-08-11 15-21-30	22.85	54.36	26.38
2024-08-11 15-52-00	22.99	54.53	26.57
2024-08-11 16-22-30	23	54.12	26.18
2024-08-11 16-52-59	23.09	54.61	26.69
2024-08-11 17-23-30	23.26	55.39	27.06
2024-08-11 17-53-59	23.16	55.03	26.45
2024-08-11 18-24-30	22.89	53.98	26.78
2024-08-11 18-54-59	23.03	55.09	26.83
2024-08-11 19-25-29	23.25	54.97	26.83
2024-08-11 19-55-59	23.1	54.63	27.09
2024-08-11 20-26-30	22.86	54.52	26.79
2024-08-11 20-57-00	22.9	54.83	26.93
2024-08-11 21-27-30	22.73	54.18	26.78
2024-08-11 21-57-58	22.5	53.74	26.46
2024-08-11 22-28-29	22.24	52.49	26.15
2024-08-11 22-58-59	21.89	52.06	26.07
2024-08-11 23-29-29	21.75	51.67	25.65
2024-08-11 23-59-59	21.39	50.48	24.54
2024-08-12 00-30-29	21.03	48.62	24.3
2024-08-12 00-31-37	20.66	48.86	23.96
2024-08-12 01-00-59	20.45	47.89	23.51
2024-08-12 01-31-29	20.09	46.81	23.14
2024-08-12 02-01-58	19.84	46.11	22.69
2024-08-12 02-32-29	19.39	45.74	22.31
2024-08-12 03-02-58	19.64	44.87	21.77
2024-08-12 03-33-29	19.36	44.93	22.41
2024-08-12 04-03-58	18.92	44.64	21.37
2024-08-12 04-34-29	19.05	44.48	21.63
2024-08-12 05-04-58	19.45	45.03	21.95
2024-08-12 05-35-28	19.53	45.02	21.82
2024-08-12 06-05-58	19.46	44.83	21.26
2024-08-12 06-36-28	18.9	44.75	21.63
2024-08-12 07-06-59	19.3	45.03	21.35
2024-08-12 07-37-28	18.79	44.2	21.3
2024-08-12 08-07-57	19.26	44.12	21.21
2024-08-12 08-38-28	18.85	44.4	21.05
2024-08-12 09-08-58	18.9	43.58	20.91
2024-08-12 09-39-28	18.8	43.92	21.41
2024-08-12 10-09-58	19.12	43.9	21.42
2024-08-12 10-40-28	18.71	44.34	21.47
2024-08-12 11-10-58	19.01	43.99	21.37
2024-08-12 11-41-29	19.24	44.07	21.67
2024-08-12 12-11-58	18.92	43.85	20.9
2024-08-12 12-31-35	19.03	44.06	21.47
2024-08-12 12-42-28	18.68	43.72	21.06
2024-08-12 13-12-59	18.46	43.44	21.47
2024-08-12 13-43-28	18.74	43.41	21.26
2024-08-12 14-13-59	18.67	43.18	21.09
2024-08-12 14-44-29	18.88	43.38	20.92
2024-08-12 15-14-57	18.61	43.66	21.37
2024-08-12 15-45-27	19.05	43.85	20.16
2024-08-12 16-15-57	18.83	44.26	20.95
2024-08-12 16-46-28	18.84	44.24	20.97
2024-08-12 17-16-57	18.71	44.12	21.02
2024-08-12 17-47-28	18.78	44.49	21
2024-08-12 18-17-57	18.95	43.89	20.67
2024-08-12 18-48-27	18.88	43.93	20.34
2024-08-12 19-18-57	18.97	44.14	19.82
2024-08-12 19-49-28	18.68	43.86	19.64
2024-08-12 20-19-57	18.84	44.02	19.99
2024-08-12 20-50-27	19.1	43.86	20.71
2024-08-12 21-20-57	18.74	43.49	20.44
2024-08-12 21-51-27	18.6	43.69	20.31
2024-08-12 22-21-57	18.64	43.73	20.74
2024-08-12 22-52-27	18.62	43.61	20.73
2024-08-12 23-22-56	18.66	43.76	21.29
2024-08-12 23-53-27	18.71	43.03	21.05
2024-08-13 00-23-57	18.7	43.55	20.31
2024-08-13 00-33-07	18.74	43.54	21.22
2024-08-13 00-54-27	18.82	43.58	20.6
2024-08-13 01-24-57	18.8	43.56	20.58
2024-08-13 01-55-27	18.5	43.42	20.65
2024-08-13 02-25-57	18.25	43.02	21.41
2024-08-13 02-56-27	18.54	43.43	21.25
2024-08-13 03-26-56	18.53	43.36	20.95
2024-08-13 03-57-27	19.1	43.57	21.21
2024-08-13 04-27-56	18.82	44.07	21.51
2024-08-13 04-58-26	19.27	44.2	21.78
2024-08-13 05-28-56	19.24	43.96	21.73
2024-08-13 05-59-27	18.72	43.97	21.26
2024-08-13 06-29-56	19.05	44.44	21.33
2024-08-13 07-00-26	18.78	44.12	21.07
2024-08-13 07-30-57	19.11	44.13	21.38
2024-08-13 08-01-27	18.75	43.81	20.67
2024-08-13 08-31-56	18.95	43.99	21.71
2024-08-13 09-02-27	19.09	43.78	20.84
2024-08-13 09-32-56	18.93	44.07	20.78
2024-08-13 10-03-27	18.92	44.25	21.25
2024-08-13 10-33-57	18.59	44.29	20.81
2024-08-13 11-04-25	18.9	43.99	21.47
2024-08-13 11-34-56	18.54	44.27	21.37
2024-08-13 12-05-26	18.78	43.78	21.25
2024-08-13 12-31-35	18.69	43.87	20.94
2024-08-13 12-35-55	18.6	43.78	21
2024-08-13 13-06-26	18.95	44.2	20.71
2024-08-13 13-36-56	19.42	44.91	20.27
2024-08-13 14-07-25	19.31	45.08	20.7
2024-08-13 14-37-55	19.08	44.59	21.38
2024-08-13 15-08-26	19.22	44.48	21.41
2024-08-13 15-38-55	19.53	44.32	20.29
2024-08-13 16-09-26	19.29	45.13	20.36
2024-08-13 16-39-56	19.2	44.54	20.17
2024-08-13 17-10-26	19.35	44.77	20.74
2024-08-13 17-40-56	19.44	44.32	20.39
2024-08-13 18-11-26	19.38	44.43	19.44
2024-08-13 18-41-56	19.37	44.34	20.51
2024-08-13 19-12-25	19.13	44.91	21.24
2024-08-13 19-42-55	19.29	45.2	21.13
2024-08-13 20-13-25	19.33	45.16	20.88
2024-08-13 20-43-55	19.6	45.07	20.92
2024-08-13 21-14-25	19.71	45.17	20.93
2024-08-13 21-44-55	19.48	45.27	21.08
2024-08-13 22-15-25	19.27	44.98	22.08
2024-08-13 22-45-54	19.26	44.81	21.29
2024-08-13 23-16-25	19.57	44.71	21.22
2024-08-13 23-46-55	19.5	44.36	20.79
2024-08-14 00-17-25	19.6	44.73	21.2
2024-08-14 00-31-33	19.09	44.76	21.45
2024-08-14 00-47-55	19.25	44.73	21.17
2024-08-14 01-18-24	19.41	44.62	20.74
2024-08-14 01-48-54	19.05	44.58	20.62
2024-08-14 02-19-25	19.03	44.47	21.08
2024-08-14 02-49-55	19.48	45.49	20.71
2024-08-14 03-20-25	19.23	44.56	20.41
2024-08-14 03-50-55	19.59	45.17	20.93
2024-08-14 04-21-26	19.67	45.36	21.15
2024-08-14 04-51-55	19.34	44.57	21.27
2024-08-14 05-22-24	18.94	44.1	20.75
2024-08-14 05-52-55	19.13	44.54	21.58
2024-08-14 06-23-25	19.12	44.34	20.3
2024-08-14 07-24-24	19.07	44.04	20.02
2024-08-14 07-54-55	19.38	44.57	19.73
2024-08-14 08-25-25	19.27	44.08	20
2024-08-14 08-55-55	19.13	44.33	19.8
2024-08-14 09-26-24	19.34	44.07	19.89
2024-08-14 09-56-54	18.98	43.73	19.63
2024-08-14 10-27-24	19.5	44.56	19.9
2024-08-14 10-57-53	19.26	44.5	19.56
2024-08-14 11-28-24	19.34	44.61	21.42
2024-08-14 11-58-54	18.97	44.19	20.25
2024-08-14 12-29-24	18.97	43.94	19.7
2024-08-14 12-31-32	19.23	44.14	20.34
2024-08-14 12-59-54	19.24	43.9	20.23
2024-08-14 13-30-25	18.98	43.82	20.25
2024-08-14 14-00-54	19.03	44.3	21.19
2024-08-14 14-31-24	18.94	44.3	19.8
2024-08-14 15-01-54	18.95	44.01	20.27
2024-08-14 15-32-24	18.94	43.6	20.23
2024-08-14 16-02-54	18.93	43.49	20.03
2024-08-14 16-33-24	19	44.02	20.43
2024-08-14 17-03-54	19.15	43.63	20.47
2024-08-14 17-34-24	18.89	43.44	20.14
2024-08-14 18-04-53	18.9	43.78	19.61
2024-08-14 18-35-23	18.98	43.36	19.96
2024-08-14 19-05-54	19	43.9	19.81
2024-08-14 19-36-24	19.07	43.69	19.6
2024-08-14 20-06-54	19.09	44.45	20.01
2024-08-14 20-37-24	19.15	44.39	20.03
2024-08-14 21-07-54	19.13	44.12	19.9
2024-08-14 21-38-23	19.13	43.98	20.17
2024-08-14 22-08-52	19.37	44.31	20.27
2024-08-14 22-39-23	19.44	44.56	19.41
2024-08-14 23-09-53	19.52	44.59	19.07
2024-08-14 23-40-23	19.13	44.85	20.67
2024-08-15 00-10-53	18.94	43.85	20.32
2024-08-15 00-31-31	19.31	43.91	19.24
2024-08-15 00-41-23	19.01	44.2	19.86
2024-08-15 01-11-52	19.45	44.58	20.05
2024-08-15 01-42-23	19.26	43.99	20.48
2024-08-15 02-12-52	18.8	43.52	19.31
2024-08-15 02-43-23	18.82	43.69	20.19
2024-08-15 03-13-53	18.9	44.67	21.02
2024-08-15 03-44-23	18.89	43.98	21
2024-08-15 04-14-53	19.35	44.4	20.28
2024-08-15 04-45-24	19.07	43.95	20.43
2024-08-15 05-15-53	18.95	44.38	20.07
2024-08-15 05-46-23	19.39	44.82	21.48
2024-08-15 06-16-52	18.98	44.18	19.8
2024-08-15 06-47-23	19.45	44.26	20.56
2024-08-15 12-31-35	0.37	0.64	0.3
2024-08-16 07-17-19	21.31	48.41	20.19
2024-08-16 07-17-37	21.08	48.59	20.24
2024-08-16 07-47-53	21.03	47.66	20.57
2024-08-16 08-18-24	20.49	47.67	22.42
2024-08-16 08-48-53	20.36	47.74	22.14
2024-08-16 09-19-24	20.6	47.67	21.35
2024-08-16 09-49-53	20.51	47.94	21.39
2024-08-16 10-20-24	20.48	47.81	21.6
2024-08-16 10-50-54	20.81	48.09	21.04
2024-08-16 11-21-23	20.47	48.05	21.45
2024-08-16 11-51-53	20.44	47.49	21.84
2024-08-16 12-22-23	20.77	47.62	21.46
2024-08-16 12-31-31	20.25	47.86	21.63
2024-08-16 12-52-54	20.51	47.73	21.81
2024-08-16 13-23-23	20.27	47.76	21.87
2024-08-16 13-53-53	20.37	47.69	22.41
2024-08-16 14-24-23	20.39	47.91	22.26
2024-08-16 14-54-52	20.86	48.09	22.35
2024-08-16 15-25-23	20.67	48.2	22.06
2024-08-16 15-55-53	20.48	47.78	22.04
2024-08-16 16-26-22	20.78	47.79	22.36
2024-08-16 16-56-52	20.82	47.82	21.65
2024-08-16 17-27-23	20.42	47.73	21.26
2024-08-16 22-56-51	15.18	32.61	18.02
2024-08-16 23-27-22	19.66	45.62	19.28
2024-08-16 23-57-51	19.45	45	20.43
2024-08-17 00-28-22	19.47	45.1	20.81
2024-08-17 00-31-30	19.27	45.16	20.77
2024-08-17 00-58-51	19.57	45.34	21.74
2024-08-17 01-29-22	19.28	45.28	21.19
2024-08-17 01-59-52	19.49	45.27	20.67
2024-08-17 02-30-22	19.54	44.89	20.56
2024-08-17 03-00-52	19.41	45.04	20.78
2024-08-17 03-31-21	18.98	45.1	20.78
2024-08-17 04-01-51	19.14	45.37	21.19
2024-08-17 04-32-22	19.55	44.68	20.81
2024-08-17 05-02-51	19.3	44.74	20.76
2024-08-17 05-33-21	19.37	45.32	21.16
2024-08-17 06-03-52	19.8	45.17	20.34
2024-08-17 06-34-22	19.43	45.62	20.56
2024-08-17 07-04-51	19.71	45.44	21.04
2024-08-17 07-35-21	19.61	45.29	21.49
2024-08-17 08-05-51	19.99	45.34	20.69
2024-08-17 08-36-21	19.03	44.86	20.3
2024-08-17 09-06-51	19.74	45.6	21.46
2024-08-17 09-37-21	19.28	45.14	20.79
2024-08-17 10-07-51	19.83	45.09	20.88
2024-08-17 10-38-22	19.66	45.52	21.28
2024-08-17 11-08-51	19.52	44.78	20.99
2024-08-17 11-39-21	19.35	44.79	21.1
2024-08-17 12-09-50	19.62	44.87	21.05
2024-08-17 12-31-29	19.67	44.83	20.6
2024-08-17 12-40-21	20.1	46	20.76
2024-08-17 13-10-51	19.37	44.75	20.67
2024-08-17 13-41-20	19.3	44.82	20.44
2024-08-17 14-11-51	19.37	45.43	21.04
2024-08-17 14-42-21	19.75	44.95	20.1
2024-08-17 15-12-51	19.64	45.34	20.47
2024-08-17 15-43-21	19.25	44.83	20.23
2024-08-17 16-13-50	19.24	44.86	20.34
2024-08-17 16-44-20	19.34	44.99	20.83
2024-08-17 17-14-50	20.02	45.34	20.73
2024-08-17 17-45-20	19.81	45.09	20.8
2024-08-17 18-15-50	19.63	45.3	20.69
2024-08-17 18-46-21	19.4	45.23	20.52
2024-08-17 19-16-50	19.63	44.76	20.73
2024-08-17 19-47-20	19.95	45.54	20.41
2024-08-17 20-17-51	19.49	45.2	20.55
2024-08-17 20-48-20	20.09	45.17	20.69
2024-08-17 21-18-50	20.07	45.63	21.19
2024-08-17 21-49-19	19.44	45.16	20.46
2024-08-17 22-19-50	19.83	45.44	20.76
2024-08-17 22-50-20	19.62	45.66	20.82
2024-08-17 23-20-50	20.19	45.32	20.74
2024-08-17 23-51-21	19.72	45.38	21.35
2024-08-18 00-21-49	19.5	45.66	20.72
2024-08-18 00-31-28	19.55	45.54	20.67
2024-08-18 00-52-20	19.9	45.51	21.44
2024-08-18 01-22-50	19.7	45.51	21.01
2024-08-18 01-53-20	19.95	46.14	20.76
2024-08-18 02-23-50	20.16	45.69	20.85
2024-08-18 02-54-19	19.97	45.45	20.59
2024-08-18 03-24-50	20.21	45.73	20.69
2024-08-18 03-55-18	19.98	45.96	20.51
2024-08-18 04-25-49	20.1	45.88	20.92
2024-08-18 04-56-19	20	46.57	19.62
2024-08-18 05-26-49	19.8	46.07	21.14
2024-08-18 05-57-20	19.93	45.98	20.8
2024-08-18 06-27-50	20.24	46.48	20.25
2024-08-18 06-58-20	20.24	46.29	20.71
2024-08-18 07-28-49	20.24	46.59	20.91
2024-08-18 07-59-19	20.33	46.55	21.15
2024-08-18 08-29-49	20.26	47.02	22.11
2024-08-18 09-00-18	20.49	46.22	20.66
2024-08-18 09-30-49	20.37	47.3	21.38
2024-08-18 10-01-19	20.26	46.61	20.5
2024-08-18 10-31-48	21.05	48.73	21.19
2024-08-18 12-31-28	0.34	0.44	0.31
2024-08-18 13-58-19	18.8	39.69	21.73
2024-08-18 14-28-49	22.56	51.91	22.77
2024-08-18 21-32-19	3.59	2.71	19.59
2024-08-18 22-02-49	21.29	49.85	23.91
2024-08-18 22-47-18	42.55	91.66	34.91
2024-08-18 23-17-48	20.74	49.21	24.19
2024-08-18 23-48-19	20.74	49.11	23.98
2024-08-19 00-18-48	20.65	49.34	24.07
2024-08-19 00-31-27	21.01	49.86	23.89
2024-08-19 00-49-18	20.93	49.18	23.74
2024-08-19 01-19-48	21	49.03	23.7
2024-08-19 01-50-18	20.92	49.05	23.98
2024-08-19 02-20-48	20.65	49.45	24.01
2024-08-19 02-51-19	20.67	49.16	24.16
2024-08-19 03-21-48	20.83	49.27	24.15
2024-08-19 03-52-18	20.64	49.29	23.95
2024-08-19 04-22-48	20.74	49.43	24.33
2024-08-19 04-53-18	20.78	49.13	24.07
2024-08-19 05-23-48	20.91	49.03	24.29
2024-08-19 05-54-18	20.64	49.23	23.99
2024-08-19 06-24-48	21.15	49.27	24.17
2024-08-19 12-31-25	0.39	0.44	0.28
2024-08-20 06-46-15	0.33	1.06	0.33
2024-08-20 07-00-17	43.38	94.73	40.53
2024-08-20 07-30-47	21.86	51.37	24.82
2024-08-20 08-01-16	21.5	50.97	25.31
2024-08-20 08-31-46	21.36	51.21	25.44
2024-08-20 09-02-17	21.4	50.58	25.05
2024-08-20 09-32-46	21.56	50.65	25.24
2024-08-20 10-03-16	21.82	50.87	25.08
2024-08-20 10-33-46	21.44	50.59	24.76
2024-08-20 11-04-16	20.98	49.29	24.72
2024-08-20 11-34-47	14.85	26.17	17.19
2024-08-20 12-05-16	13.99	23.24	16.4
2024-08-20 12-31-24	13.67	22.26	15.86
2024-08-20 12-35-46	13.73	22.06	16.58
2024-08-20 13-06-16	13.3	20.71	16.32
2024-08-20 13-36-45	13.55	21.48	16.14
2024-08-20 14-07-16	13.59	21.2	16.13
2024-08-20 14-37-46	13.79	20.93	16.19
2024-08-20 15-08-15	13.7	21.7	16.61
2024-08-20 15-38-46	13.78	22.39	16.55
2024-08-20 16-09-16	13.78	21.9	16.14
2024-08-20 16-39-46	13.72	22.19	16.73
2024-08-20 17-10-15	13.55	21.17	15.54
2024-08-20 17-40-46	12.96	20.01	15.47
2024-08-20 18-11-16	13.09	20.12	15.8
2024-08-20 18-41-46	12.9	19.46	15.73
2024-08-20 19-12-16	13.15	19.98	15.77
2024-08-20 19-42-46	13.67	22.13	15.97
2024-08-20 20-13-15	13.05	20.36	16.08
2024-08-20 20-43-45	13.23	19.37	15.47
2024-08-20 21-14-15	13.64	21.31	16.06
2024-08-20 21-44-45	13.46	20.45	16.22
2024-08-20 22-15-16	13.06	19.66	15.37
2024-08-20 22-45-45	13.38	20.44	16.15
2024-08-20 23-16-15	12.79	19.76	16.04
2024-08-20 23-46-46	12.66	19.58	16.06
2024-08-21 00-17-16	12.63	19.36	15.97
2024-08-21 00-31-23	13.31	19.88	16.53
2024-08-21 00-47-45	13.29	20.19	16.04
2024-08-21 01-18-15	12.26	18.22	15.67
2024-08-21 01-48-45	15.67	27.68	17.28
2024-08-21 02-19-15	13.41	21.63	16.35
2024-08-21 02-49-45	15.93	27.75	16.72
2024-08-21 03-20-15	15.53	27.48	16.94
2024-08-21 03-50-45	13.29	20.56	15.97
2024-08-21 04-21-15	12.8	19.29	15.7
2024-08-21 04-51-45	16.72	30.36	17.14
2024-08-21 05-22-15	15.94	28.75	16.7
2024-08-21 05-52-44	16.93	31.88	18.16
2024-08-21 06-23-15	16.62	30.54	17.7
2024-08-21 06-53-45	16.75	29.94	17.58
2024-08-21 07-24-14	15.59	27.21	16.44
2024-08-21 07-54-44	13	19.86	16.12
2024-08-21 08-25-15	16.48	30.88	17.36
2024-08-21 08-55-44	16.02	28.57	17.02
2024-08-21 09-26-15	17.14	31.65	18.47
2024-08-21 09-56-45	16.79	31.27	17.75
2024-08-21 10-27-14	13.32	19.9	15.6
2024-08-21 10-57-45	15.86	28.81	16.84
2024-08-21 11-28-14	16.46	29.33	17.38
2024-08-21 11-58-44	15.87	28.92	16.64
2024-08-21 12-29-14	16.25	28.83	17.55
2024-08-21 12-31-22	13.39	20.1	15.4
2024-08-21 12-59-44	16.48	30.41	17.71
2024-08-21 13-30-14	12.52	18.87	15.48
2024-08-21 14-00-44	16.69	31.45	17.8
2024-08-21 14-31-13	16.37	29.58	16.8
2024-08-21 15-01-44	14.88	26.38	15.88
2024-08-21 15-32-14	15.06	26.97	16.44
2024-08-21 16-02-45	13.33	21.02	15.49
2024-08-21 16-33-15	16.81	31.17	17.82
2024-08-21 17-03-44	12.38	17.95	15.56
2024-08-21 17-34-13	16.11	29.32	17.21
2024-08-21 18-04-43	12.88	20.63	15.57
2024-08-21 18-35-14	12.76	19.86	15.95
2024-08-21 19-05-44	16.37	30.21	17.69
2024-08-21 19-36-13	12.44	18.17	15.41
2024-08-21 20-06-44	12.76	18.75	15.68
2024-08-21 20-37-13	12.39	18.25	16
2024-08-21 21-07-43	16.01	29.02	17.28
2024-08-21 21-38-13	13.17	18.46	15.86
2024-08-21 22-08-43	12.4	19.02	15.89
2024-08-21 22-39-13	14.65	25.28	16.52
2024-08-21 23-09-43	12.9	20.18	15.78
2024-08-21 23-40-13	12.78	19.45	15.52
2024-08-22 00-10-44	13.08	20.9	15.07
2024-08-22 00-31-22	12.97	19.97	15.8
2024-08-22 00-41-13	15.9	28.13	16.41
2024-08-22 01-11-44	12.27	18.42	15.76
2024-08-22 01-42-13	16.89	31.53	17.54
2024-08-22 02-12-43	16.43	30.17	17.05
2024-08-22 02-43-13	16.32	30.95	17.61
2024-08-22 03-13-42	16.79	31.55	17.79
2024-08-22 03-44-13	17.12	31.85	17.3
2024-08-22 04-14-43	15.47	27.18	16.6
2024-08-22 04-45-12	17.3	32.87	18.17
2024-08-22 05-15-43	16.44	30.45	17.69
2024-08-22 05-46-13	16.73	30.89	17.08
2024-08-22 06-16-43	17.54	32.96	19.1
2024-08-22 06-47-13	15.55	27.49	15.95
2024-08-22 07-17-43	17.07	32.04	17.33
2024-08-22 07-48-13	17.36	33.01	18.38
2024-08-22 08-18-44	18.33	36.6	19.82
2024-08-22 08-49-14	17.58	33.85	19.18
2024-08-22 09-19-43	18.59	36.39	20.16
2024-08-22 09-50-13	18.49	36.27	19.87
2024-08-22 10-20-43	17.92	35.47	19.89
2024-08-22 10-51-13	18.35	35.78	19.46
2024-08-22 11-21-44	17.59	35.03	18.72
2024-08-22 11-52-14	18.36	35.99	19.93
2024-08-22 12-22-43	17.48	33.8	19.4
2024-08-22 12-31-21	18.55	36.54	20.29
2024-08-22 12-53-13	18.29	36.38	20.34
2024-08-22 13-23-43	17.66	35.18	19.28
2024-08-22 13-54-13	17.94	34.97	19.4
2024-08-22 14-24-43	17.51	34.05	19.01
2024-08-22 14-55-12	18.22	36.11	19.74
2024-08-22 15-25-43	17.5	34.42	19.63
2024-08-22 15-56-12	17.59	33.74	19.18
2024-08-22 16-26-43	17.91	34.56	19.28
2024-08-22 16-57-12	18.17	36.42	19.98
2024-08-22 17-27-43	17.19	33.6	18.89
2024-08-22 17-58-13	18.79	37.78	20.54
2024-08-22 18-28-42	18.3	36.15	19.7
2024-08-22 18-59-12	17.52	34.42	19.19
2024-08-22 19-29-43	18.36	36.35	20.39
2024-08-22 20-00-13	15.98	30.02	18.24
2024-08-22 20-30-42	18.41	36.3	19.68
2024-08-22 21-01-12	19.01	37.33	19.92
2024-08-22 21-31-43	17.75	34.76	18.28
2024-08-22 22-02-12	19.04	38.09	21.05
2024-08-22 22-32-42	18.45	36.99	19.79
2024-08-22 23-03-13	18.69	36.77	20.12
2024-08-22 23-33-42	19.19	38.13	21.12
2024-08-23 00-04-12	19	39.11	20.42
2024-08-23 00-31-20	19.09	38.74	20.67
2024-08-23 00-34-42	19.7	40.69	21.47
2024-08-23 01-05-12	19.07	38.23	21.07
2024-08-23 01-35-42	19.18	39.09	20.72
2024-08-23 02-06-12	18.41	36.43	19.87
2024-08-23 02-36-43	20.09	40.4	21.4
2024-08-23 03-07-12	18.81	38.05	20.53
2024-08-23 03-37-43	19.2	38.68	20.7
2024-08-23 04-08-12	19.51	39.49	21.43
2024-08-23 04-38-43	19.53	39.38	20.9
2024-08-23 05-09-12	19.82	40.36	21.41
2024-08-23 05-39-41	19.64	39.97	20.9
2024-08-23 06-10-12	20.77	43.35	22.52
2024-08-23 06-40-42	20.19	41.83	22.41
2024-08-23 07-11-11	20.19	40.92	21.45
2024-08-23 07-41-42	48.78	101.45	34.44
2024-08-23 08-12-12	16.73	30.8	18.18
2024-08-23 08-42-42	17.37	32.79	17.83
2024-08-23 09-13-12	16.47	30.74	17.33
2024-08-23 09-43-42	16.94	32.04	18.01
2024-08-23 10-14-11	17.17	32.64	18.56
2024-08-23 10-44-41	17.43	33.41	19
2024-08-23 11-15-11	17.49	33.89	18.29
2024-08-23 11-45-41	16.84	31.56	18.86
2024-08-23 12-16-12	16.82	32.41	18.31
2024-08-23 12-31-21	16.64	30.5	16.84
2024-08-23 12-46-42	17.69	33.2	18.07
2024-08-23 13-17-11	16.93	31.19	17.33
2024-08-23 13-47-42	17.3	32.84	18.54
2024-08-23 14-18-12	16.04	30.59	17.63
2024-08-23 14-48-43	16.08	30.27	17.76
2024-08-23 15-19-12	18.02	35.3	18.64
2024-08-23 15-49-42	17.04	31.9	17.6
2024-08-23 16-20-12	15.32	28.09	15.92
2024-08-23 16-50-42	17.1	32.53	17.63
2024-08-23 17-21-12	16.88	32	17.2
2024-08-23 17-51-42	16.37	30.95	16.69
2024-08-23 18-22-11	17.27	32.69	17.85
2024-08-23 18-52-42	17.08	32.29	17.07
2024-08-23 19-23-12	16.3	31.16	17.42
2024-08-23 19-53-43	17.11	32.73	17.81
2024-08-23 20-24-12	17.81	34.66	18.55
2024-08-23 20-54-42	18.22	36.19	18.54
2024-08-23 21-25-11	12.79	19.92	14.68
2024-08-23 21-55-41	17.38	32.67	18.04
2024-08-23 22-26-11	17.6	34.03	17.64
2024-08-23 22-56-42	17.67	33.83	17.86
2024-08-23 23-27-12	17.67	34.74	18.05
2024-08-23 23-57-42	17.36	33.78	17.77
2024-08-24 00-28-11	16.18	29.62	16.6
2024-08-24 00-31-20	17.26	33.46	17.86
2024-08-24 00-58-41	17.31	33.15	17.59
2024-08-24 01-29-11	18.17	34.9	18.26
2024-08-24 01-59-41	17.38	31.66	17.48
2024-08-24 02-30-12	17.19	32.42	17.56
2024-08-24 03-00-42	18.25	35.4	18.77
2024-08-24 03-31-12	13.24	19.31	16.05
2024-08-24 04-01-40	17.65	33.33	18.15
2024-08-24 04-32-11	18.2	35.05	18.5
2024-08-24 05-02-40	16.72	30.47	16.67
2024-08-24 05-33-11	17.86	34.04	18.22
2024-08-24 06-03-41	17.63	33.97	18.59
2024-08-24 06-34-11	17.77	34.88	18.58
2024-08-24 07-04-41	17.6	33.66	18.02
2024-08-24 07-35-11	18.48	36.35	18.86
2024-08-24 08-05-41	18.2	36.22	19.35
2024-08-24 08-36-11	18.47	36.28	19.78
2024-08-24 09-06-40	18.93	37.61	19.72
2024-08-24 09-37-11	17.82	34.66	18.32
2024-08-24 10-07-41	17.87	35.25	19.4
2024-08-24 10-38-11	17.85	34.81	18.33
2024-08-24 11-08-41	18	35.42	19.12
2024-08-24 11-39-11	18.69	36.26	20.81
2024-08-24 12-09-41	18.3	35.67	19.36
2024-08-24 12-31-19	18.32	35.44	19.55
2024-08-24 12-40-10	17.62	34.17	18.42
2024-08-24 13-10-41	17.94	33.79	17.97
2024-08-24 13-41-11	18.26	34.93	18.54
2024-08-24 14-11-41	18.24	35.24	19.38
2024-08-24 14-42-10	17.86	34.82	18.89
2024-08-24 15-12-41	18.1	35.17	18.27
2024-08-24 15-43-10	18.1	34.67	18.51
2024-08-24 16-13-41	17.44	33.43	17.64
2024-08-24 16-44-10	17.22	33.38	17.84
2024-08-24 17-14-41	18.25	35.19	19.51
2024-08-24 17-45-10	17.81	35.08	19.36
2024-08-24 18-15-40	17.6	34.33	19.23
2024-08-24 18-46-10	17.9	34.64	19.33
2024-08-24 19-16-40	18.03	34.6	19.1
2024-08-24 19-47-10	17.67	33.5	18.62
2024-08-24 20-17-40	18.71	36.43	19.13
2024-08-24 20-48-09	18.06	34.8	19.56
2024-08-24 21-18-41	17.57	33.98	18.29
2024-08-24 21-49-10	17.94	34.63	18.61
2024-08-24 22-19-40	18.13	35.71	20.44
2024-08-24 22-50-09	18.13	34.8	19.56
2024-08-24 23-32-40	3.48	3.78	28.54
2024-08-25 00-03-10	20.14	41.12	21.01
2024-08-25 00-31-18	19.04	37.98	19.87
2024-08-25 00-33-40	18.79	37.62	19.64
2024-08-25 01-04-10	18.95	38.65	19.95
2024-08-25 01-34-40	19.85	40.17	20.65
2024-08-25 02-05-10	19.25	38.48	20.35
2024-08-25 02-35-39	19.19	38.4	20.54
2024-08-25 03-06-09	18.82	37.95	19.61
2024-08-25 03-36-39	17.83	35.28	19.12
2024-08-25 04-07-10	19.83	40.32	20.34
2024-08-25 04-37-39	20.02	40.41	20.9
2024-08-25 05-08-08	19.43	39.03	20.59
2024-08-25 05-38-39	19.18	38.75	20.33
2024-08-25 06-09-09	18.81	37.41	20.8
2024-08-25 06-39-39	18.62	37.03	19.73
2024-08-25 07-10-09	18.93	38.35	20.1
2024-08-25 07-40-39	19.07	38.31	19.67
2024-08-25 08-11-10	19.61	40.18	21.29
2024-08-25 08-41-39	20.77	42.66	22.08
